닉네임,UID,원점수,2025-02-09 00:00:00,2025-02-10 00:00:00,2025-02-11 00:00:00,2025-02-12 00:00:00,2025-02-13 00:00:00,2025-02-14 00:00:00,2025-02-15 00:00:00,닉네임.2,UID.2,원점수.2,2025-03-02 00:00:00,2025-03-03 00:00:00,2025-03-04 00:00:00,2025-03-05 00:00:00,2025-03-06 00:00:00,2025-03-07 00:00:00,2025-03-08 00:00:00,닉네임.4,UID.4,원점수.4,2025-03-23 00:00:00,2025-03-24 00:00:00,2025-03-25 00:00:00,2025-03-26 00:00:00,2025-03-27 00:00:00,2025-03-28 00:00:00,2025-03-29 00:00:00,닉네임.6,UID.6,원점수.6,2025-04-13 00:00:00,2025-04-14 00:00:00,2025-04-15 00:00:00,2025-04-16 00:00:00
더브리,372401.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,더브리,372401.0,,3,3.0,3.0,3.0,3.0,3,3.0,더브리,372401.0,,3,3,3,3,3,3,2.0,더브리,372401.0,,3.0,3,3,3
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,180,180,180,180,150.0,,,,180.0,180,180,180
,,11388.0,12563.0,13770.0,15064.0,16342.0,17603.0,18932.0,20206,,,21466.0,22706,23890.0,25138.0,26274.0,27537.0,28811,30038.0,,,31298.0,32813,34333,35886,37443,38986,40542,41635.0,,,42895.0,44491.0,46087,47683,49279
,,0.0,9958.0,20238.0,31400.0,42395.0,53225.0,64730.0,75682,,,0.0,10611,20668.0,31361.0,40930.0,51774.0,62738,73223.0,,,0.0,13362,26784,40532,54311,67946,81715,91158.0,,,0.0,14187.0,28374,42561,56748
시스,410091.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,시스,410091.0,,3,3.0,3.0,3.0,3.0,3,3.0,시스,410091.0,,3,3,3,3,3,3,6.0,시스,410091.0,,3.0,3,3,0
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,180,180,180,180,270.0,,,,180.0,180,180,90
,,11609.0,12711.0,13826.0,14940.0,16038.0,17151.0,18349.0,19487,,,20745.0,21861,22983.0,24164.0,25279.0,26490.0,27694,28878.0,,,30138.0,31623,33122,34608,36115,37633,39166,40831.0,,,42091.0,43667.0,45256,46848,48347
,,0.0,9234.0,18579.0,27956.0,37162.0,46505.0,56698.0,66279,,,0.0,9379,18822.0,28840.0,38210.0,48533.0,58792,68846.0,,,0.0,13062,26273,39344,52632,66034,79574,93549.0,,,0.0,13982.0,28085,42228,56340
이유식실장기원,502910.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,이유식실장기원,502910.0,,3,3.0,3.0,3.0,3.0,3,3.0,이유식실장기원,502910.0,,3,3,3,3,3,3,3.0,이유식실장기원,502910.0,,3.0,3,3,3
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,180,180,180,180,180.0,,,,180.0,180,180,180
,,6654.0,7645.0,8642.0,9717.0,10695.0,11638.0,12710.0,13751,,,15011.0,16032,17052.0,18067.0,19104.0,20155.0,21226,22303.0,,,23563.0,25005,26495,27995,29477,30972,32459,34000.0,,,35260.0,36825.0,38407,39985,41554
,,0.0,8130.0,16310.0,25277.0,33268.0,40910.0,49846.0,58464,,,0.0,8426,16846.0,25206.0,33782.0,42500.0,51429,60411.0,,,0.0,12633,25737,38952,51993,65156,78241,91857.0,,,0.0,13864.0,27900,41903,55815
Syrup,13733.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,Syrup,13733.0,,3,3.0,3.0,3.0,3.0,3,3.0,Syrup,13733.0,,3,3,2,2,2,2,2.0,Syrup,13733.0,,3.0,3,3,3
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,150,150,150,150,150.0,,,,180.0,180,180,180
,,11414.0,12437.0,13467.0,14534.0,15628.0,16675.0,17845.0,18934,,,20194.0,21272,22315.0,23482.0,24580.0,25756.0,26914,28071.0,,,29331.0,30751,32227,33252,34263,35278,36301,37322.0,,,38582.0,40114.0,41658,43221,44762
,,0.0,8446.0,16953.0,25843.0,35002.0,43685.0,53595.0,62704,,,0.0,8997,17637.0,27521.0,36719.0,46699.0,56495,66282.0,,,0.0,12412,25380,34142,42764,51423,60169,68888.0,,,0.0,13541.0,27197,41047,54679
verpivia,31979.0,,3.0,3.0,3.0,3.0,3.0,3.0,3,verpivia,31979.0,,3,3.0,3.0,3.0,3.0,3,3.0,verpivia,31979.0,,3,3,3,3,3,3,3.0,verpivia,31979.0,,3.0,3,3,3
,,,180.0,180.0,180.0,180.0,180.0,180.0,180,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,180,180,180,180,180,180,180.0,,,,180.0,180,180,180
,,11019.0,11990.0,12972.0,14015.0,15093.0,16206.0,17353.0,18453,,,19713.0,20754,21839.0,22917.0,24008.0,25143.0,26290,27396.0,,,28656.0,30118,31601,33096,34587,36073,37564,39122.0,,,40382.0,41945.0,43516,45104,46692
,,0.0,7924.0,15969.0,24609.0,33602.0,42950.0,52632.0,61842,,,0.0,8622,17688.0,26686.0,35807.0,45366.0,55051,64322.0,,,0.0,12826,25871,39040,52158,65229,78353,92156.0,,,0.0,13850.0,27793,41893,55987
Bigfish,34885.0,,2.0,2.0,2.0,2.0,2.0,2.0,2,Bigfish,34885.0,,3,3.0,3.0,3.0,3.0,3,3.0,Bigfish,34885.0,,2,2,2,2,2,2,2.0,Bigfish,34885.0,,2.0,2,2,2
,,,150.0,150.0,150.0,150.0,150.0,150.0,150,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,150,150.0,,,,150.0,150,150,150
,,9448.0,10224.0,11006.0,11799.0,12589.0,13379.0,14177.0,14988,,,16248.0,17296,18319.0,19360.0,20388.0,21446.0,22518,23550.0,,,24810.0,25841,26882,27933,28963,29997,31056,32125.0,,,33385.0,34472.0,35563,36654,37740
,,0.0,6275.0,12597.0,19036.0,25440.0,31849.0,38337.0,44956,,,0.0,8681,17130.0,25750.0,34242.0,43031.0,51966,60505.0,,,0.0,8833,17749,26772,35576,44426,53521,62728.0,,,0.0,9404.0,18808,28221,37586
리아,283659.0,,2.0,2.0,3.0,3.0,2.0,2.0,2,리아,283659.0,,3,3.0,3.0,3.0,3.0,3,3.0,리아,283659.0,,2,2,2,2,2,2,2.0,리아,283659.0,,2.0,2,2,2
,,,150.0,150.0,180.0,180.0,150.0,150.0,150,,,,180,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,150,150.0,,,,150.0,150,150,150
,,6325.0,6947.0,7588.0,8488.0,9325.0,9985.0,10633.0,11288,,,12458.0,13317,14173.0,15004.0,15785.0,16628.0,17474,18398.0,,,19658.0,20581,21453,22311,23176,24032,24894,25826.0,,,27086.0,28007.0,28883,29771,30657
,,0.0,4733.0,9652.0,16869.0,23460.0,28567.0,33556.0,38616,,,0.0,6801,13576.0,20102.0,26124.0,32765.0,39437,46890.0,,,0.0,7735,14973,22053,29207,36276,43407,51233.0,,,0.0,7715.0,14990,22377,29745
냐옹아울어바,762070.0,,3.0,3.0,3.0,3.0,3.0,3.0,2,냐옹아울어바,762070.0,,과업 유기3,3.0,3.0,3.0,3.0,3,3.0,지휘관(흥국),58406.0,,2,2,2,2,2,2,2.0,지휘관(흥국),58406.0,,2.0,과업 유기2,2,2
,,,180.0,180.0,180.0,180.0,180.0,180.0,150,,,,140,180.0,180.0,180.0,180.0,180,180.0,,,,150,150,150,150,150,150,150.0,,,,150.0,110,150,150
