UID,nickname,날짜,누적공적,누적점수,일일공적
372401.0,더브리,2025-02-08,11388.0,0.0,0
372401.0,더브리,2025-02-09,12563.0,9958.0,180.0
372401.0,더브리,2025-02-10,13770.0,20238.0,180.0
372401.0,더브리,2025-02-11,15064.0,31400.0,180.0
372401.0,더브리,2025-02-12,16342.0,42395.0,180.0
372401.0,더브리,2025-02-13,17603.0,53225.0,180.0
372401.0,더브리,2025-02-14,18932.0,64730.0,180.0
372401.0,더브리,2025-02-15,20206,75682,180
410091.0,시스,2025-02-08,11609.0,0.0,0
410091.0,시스,2025-02-09,12711.0,9234.0,180.0
410091.0,시스,2025-02-10,13826.0,18579.0,180.0
410091.0,시스,2025-02-11,14940.0,27956.0,180.0
410091.0,시스,2025-02-12,16038.0,37162.0,180.0
410091.0,시스,2025-02-13,17151.0,46505.0,180.0
410091.0,시스,2025-02-14,18349.0,56698.0,180.0
410091.0,시스,2025-02-15,19487,66279,180
502910.0,이유식실장기원,2025-02-08,6654.0,0.0,0
502910.0,이유식실장기원,2025-02-09,7645.0,8130.0,180.0
502910.0,이유식실장기원,2025-02-10,8642.0,16310.0,180.0
502910.0,이유식실장기원,2025-02-11,9717.0,25277.0,180.0
502910.0,이유식실장기원,2025-02-12,10695.0,33268.0,180.0
502910.0,이유식실장기원,2025-02-13,11638.0,40910.0,180.0
502910.0,이유식실장기원,2025-02-14,12710.0,49846.0,180.0
502910.0,이유식실장기원,2025-02-15,13751,58464,180
13733.0,Syrup,2025-02-08,11414.0,0.0,0
13733.0,Syrup,2025-02-09,12437.0,8446.0,180.0
13733.0,Syrup,2025-02-10,13467.0,16953.0,180.0
13733.0,Syrup,2025-02-11,14534.0,25843.0,180.0
13733.0,Syrup,2025-02-12,15628.0,35002.0,180.0
13733.0,Syrup,2025-02-13,16675.0,43685.0,180.0
13733.0,Syrup,2025-02-14,17845.0,53595.0,180.0
13733.0,Syrup,2025-02-15,18934,62704,180
31979.0,verpivia,2025-02-08,11019.0,0.0,0
31979.0,verpivia,2025-02-09,11990.0,7924.0,180.0
31979.0,verpivia,2025-02-10,12972.0,15969.0,180.0
31979.0,verpivia,2025-02-11,14015.0,24609.0,180.0
31979.0,verpivia,2025-02-12,15093.0,33602.0,180.0
31979.0,verpivia,2025-02-13,16206.0,42950.0,180.0
31979.0,verpivia,2025-02-14,17353.0,52632.0,180.0
31979.0,verpivia,2025-02-15,18453,61842,180
34885.0,Bigfish,2025-02-08,9448.0,0.0,0
34885.0,Bigfish,2025-02-09,10224.0,6275.0,150.0
34885.0,Bigfish,2025-02-10,11006.0,12597.0,150.0
34885.0,Bigfish,2025-02-11,11799.0,19036.0,150.0
34885.0,Bigfish,2025-02-12,12589.0,25440.0,150.0
34885.0,Bigfish,2025-02-13,13379.0,31849.0,150.0
34885.0,Bigfish,2025-02-14,14177.0,38337.0,150.0
34885.0,Bigfish,2025-02-15,14988,44956,150
283659.0,리아,2025-02-08,6325.0,0.0,0
283659.0,리아,2025-02-09,6947.0,4733.0,150.0
283659.0,리아,2025-02-10,7588.0,9652.0,150.0
283659.0,리아,2025-02-11,8488.0,16869.0,180.0
283659.0,리아,2025-02-12,9325.0,23460.0,180.0
283659.0,리아,2025-02-13,9985.0,28567.0,150.0
