UID,nickname,날짜,누적공적,공적차,누적점수,점수차,일일공적,prev_date,prev_score
94359.0,0노엘0,2025-02-08,8768.0,-1,0.0,-1,0.0,,
94359.0,0노엘0,2025-02-09,9729.0,961,7832.0,7832,180.0,2025-02-08,0.0
94359.0,0노엘0,2025-02-10,10750.0,1021,16258.0,8426,180.0,2025-02-09,7832.0
94359.0,0노엘0,2025-02-11,11847.0,1097,25436.0,9178,180.0,2025-02-10,16258.0
94359.0,0노엘0,2025-02-12,12601.0,754,31483.0,6047,150.0,2025-02-11,25436.0
94359.0,0노엘0,2025-02-13,13651.0,1050,40196.0,8713,180.0,2025-02-12,31483.0
94359.0,0노엘0,2025-02-14,14713.0,1062,49028.0,8832,180.0,2025-02-13,40196.0
94359.0,0노엘0,2025-02-15,15523.0,810,55639.0,6611,150.0,2025-02-14,49028.0
94359.0,0노엘0,2025-03-01,16783.0,1260,0.0,-1,0.0,2025-02-15,55639.0
94359.0,0노엘0,2025-03-02,17781.0,998,8194.0,8194,180.0,2025-03-01,0.0
94359.0,0노엘0,2025-03-03,18776.0,995,16361.0,8167,180.0,2025-03-02,8194.0
94359.0,0노엘0,2025-03-04,19838.0,1062,25203.0,8842,180.0,2025-03-03,16361.0
94359.0,0노엘0,2025-03-05,20622.0,784,31549.0,6346,150.0,2025-03-04,25203.0
94359.0,0노엘0,2025-03-06,21668.0,1046,40216.0,8667,180.0,2025-03-05,31549.0
94359.0,0노엘0,2025-03-07,22746.0,1078,49210.0,8994,180.0,2025-03-06,40216.0
94359.0,0노엘0,2025-03-08,23773.0,1027,57685.0,8475,180.0,2025-03-07,49210.0
94359.0,0노엘0,2025-03-22,25033.0,1260,0.0,-1,0.0,2025-03-08,57685.0
94359.0,0노엘0,2025-03-23,26488.0,1455,12755.0,12755,180.0,2025-03-22,0.0
94359.0,0노엘0,2025-03-24,27976.0,1488,25844.0,13089,180.0,2025-03-23,12755.0
94359.0,0노엘0,2025-03-25,29464.0,1488,38934.0,13090,180.0,2025-03-24,25844.0
94359.0,0노엘0,2025-03-26,30937.0,1473,51882.0,12948,180.0,2025-03-25,38934.0
94359.0,0노엘0,2025-03-27,32412.0,1475,64846.0,12964,180.0,2025-03-26,51882.0
