UID,nickname,date,daily_merit,daily_score,battle_count,daily_mission,attendance
94359.0,0노엘0,2025-02-09,961,7832,3,1,1
94359.0,0노엘0,2025-02-10,1021,8426,3,1,1
94359.0,0노엘0,2025-02-12,754,6047,2,1,1
94359.0,0노엘0,2025-02-13,1050,8713,3,1,1
94359.0,0노엘0,2025-02-14,1062,8832,3,1,1
94359.0,0노엘0,2025-02-15,810,6611,2,1,1
94359.0,0노엘0,2025-03-02,998,8194,3,1,1
94359.0,0노엘0,2025-03-03,995,8167,3,1,1
94359.0,0노엘0,2025-03-04,1062,8842,3,1,1
94359.0,0노엘0,2025-03-05,784,6346,2,1,1
94359.0,0노엘0,2025-03-06,1046,8667,3,1,1
94359.0,0노엘0,2025-03-07,1078,8994,3,1,1
94359.0,0노엘0,2025-03-08,1027,8475,3,1,1
94359.0,0노엘0,2025-03-23,1455,12755,3,1,1
94359.0,0노엘0,2025-03-24,1488,13089,3,1,1
94359.0,0노엘0,2025-03-25,1488,13090,3,1,1
94359.0,0노엘0,2025-03-26,1473,12948,3,1,1
94359.0,0노엘0,2025-03-27,1475,12964,3,1,1
94359.0,0노엘0,2025-03-28,1484,13052,3,1,1
94359.0,0노엘0,2025-03-29,1063,9143,2,1,1
94359.0,0노엘0,2025-04-13,1075,9000,3,1,1
94359.0,0노엘0,2025-04-14,1563,14099,2,1,1
94359.0,0노엘0,2025-04-15,1094,9458,2,1,1
94359.0,0노엘0,2025-04-16,1561,13828,3,1,1
17812.0,Ailless,2025-02-09,557,3778,3,1,1
17812.0,Ailless,2025-02-10,786,6076,3,1,1
17812.0,Ailless,2025-02-11,934,7558,3,1,1
17812.0,Ailless,2025-02-12,852,6737,3,1,1
17812.0,Ailless,2025-02-13,919,7406,3,1,1
17812.0,Ailless,2025-02-14,930,7514,3,1,1
17812.0,Ailless,2025-02-15,956,7774,3,1,1
17812.0,Ailless,2025-03-02,947,7686,3,1,1
17812.0,Ailless,2025-03-03,992,8133,3,1,1
17812.0,Ailless,2025-03-04,1070,8908,3,1,1
17812.0,Ailless,2025-03-05,1000,8211,3,1,1
17812.0,Ailless,2025-03-06,1019,8404,3,1,1
17812.0,Ailless,2025-03-07,1064,8855,3,1,1
17812.0,Ailless,2025-03-08,1045,8661,3,1,1
17812.0,Ailless,2025-03-23,1441,12618,3,1,1
17812.0,Ailless,2025-03-24,1443,12640,3,1,1
17812.0,Ailless,2025-03-25,1384,12058,3,1,1
17812.0,Ailless,2025-03-26,1452,12730,3,1,1
17812.0,Ailless,2025-03-27,1453,12751,3,1,1
